,us_trade_volume,absolute_difference,relative_loss
SEN,145734.1015625,403593.9999990463,0.005937942863587509
IRQ,8428272.37890625,3236792.9999923706,0.005727890659024126
DEU,271554080.0,50438952.99987793,0.005638019079445833
IRN,724465.6875,6588721.999984741,0.005217268233281835
CPV,34222.823486328125,37194.99999988079,0.005171912486945374
BGD,4673131.4375,1754861.0,0.005076570906270561
ITA,95505772.0,31213170.0,0.005072060862709726
BFA,87978.58203125,143508.99999952316,0.005023084948097001
LAO,31861.62109375,104974.99999976158,0.004992827367678032
WSM,38979.8671875,9986.999999970198,0.004936883084249999
EGY,7074746.5,4423966.999984741,0.004757118241549563
IDN,37345566.0,11322855.999969482,0.004756731724087082
PAK,5880136.25,3257384.9999923706,0.004747591147369334
IND,81477974.0,24826572.999938965,0.0046563260107879145
TCD,316134.2734375,93089.99999976158,0.004655474972836693
UGA,162228.0234375,318343.9999990463,0.004491007939977365
SLE,84468.23046875,45315.99999988079,0.00441347622179844
NER,119811.49609375,105053.99999952316,0.004157340115296115
IRL,61411240.0,2147578.9999923706,0.004097045516049391
AFG,92800.90698242188,223106.0,0.004040069816113601
JPN,326602176.0,70419188.99975586,0.003984061247308546
BRA,96623176.0,24143273.99987793,0.0038885497551710557
DJI,22510.548828125,17545.999999940395,0.0037890114069405456
MLI,117191.0859375,122583.99999952316,0.003721909434739601
LBR,132944.08203125,13778.999999940395,0.0036990312572759976
BEN,44366.4384765625,87763.99999952316,0.0036487243399330183
LBY,45471.993896484375,480628.99999809265,0.0035348227572340463
RWA,117397.95703125,63596.99999976158,0.0031978996652304303
MNE,81476.9375,51715.99999976158,0.003142591672955497
UZB,579141.2734375,423988.99999809265,0.0030328094775988745
PRK,9270.873657226562,114115.99999952316,0.00296845432772308
GMB,15639.9619140625,9595.999999940395,0.002574104798114263
CAF,13161.22021484375,14146.0,0.00223436279711553
STP,7837.00634765625,2161.999999985099,0.0022176685820385345
MOZ,85059.93359375,101405.0,0.0022070568473253616
ERI,38362.56298828125,11565.99999988079,0.0014605822492352871
BDI,24721.984375,9431.99999988079,0.0012389582134675337
MMR,336746.16796875,95322.99999809265,0.0007112861522218239
TJK,66589.34521484375,12374.999999761581,0.0006366404988522589
SOM,4684.97216796875,1172.9999999403954,0.00032778830374446954
LIE,85031.373046875,4009.9999997615814,0.00023127413617540782
MCO,53474.330078125,1933.9999997615814,0.00011093045237942079
PHL,32187226.0,2256472.000015259,-0.003071550213318286
CAN,854244000.0,267454352.00006104,-0.050897911211500446
MEX,466219376.0,209172209.00006104,-0.06202982411335212
